band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,4.305255e-09,nan,4.511506e-09,6.874701e-13,nan,7.204046e-13
1,100.0,300.0,3.2948766e-09,-1.234832e-09,1.2419105e-09,7.85423e-13,2.943556e-13,2.9604298e-13
2,100.0,300.0,6.055381e-10,-1.6083693e-10,1.6613255e-10,4.1177012e-13,1.0937022e-13,1.12971285e-13
3,300.0,1000.0,2.7519262e-10,-3.625455e-11,3.8429447e-11,6.559961e-13,8.6422534e-14,9.1606986e-14
4,300.0,1000.0,5.195984e-11,-1.1576556e-11,1.2977861e-11,3.5333048e-13,7.872137e-14,8.8250343e-14
5,300.0,1000.0,2.1561681e-11,-5.997835e-12,7.2076962e-12,5.1398106e-13,1.4297463e-13,1.7181495e-13
6,1000.0,3000.0,6.2322374e-12,-2.6758537e-12,3.7521527e-12,4.2379641e-13,1.8195989e-13,2.5514896e-13
7,1000.0,3000.0,8.970274e-17,nan,2.943352e-12,1.5449955e-17,nan,5.069484e-13
