band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,1.3571963e-08,nan,1.2533383e-08,2.127493e-12,nan,1.9646888e-12
1,100.0,300.0,5.2833107e-09,-2.2781685e-09,2.31327e-09,1.2037385e-12,5.1905317e-13,5.270506e-13
2,100.0,300.0,8.6149515e-10,-2.2228101e-10,2.2503278e-10,5.5511775e-13,1.4323021e-13,1.4500337e-13
3,300.0,1000.0,1.7913097e-10,-3.5071304e-11,3.7541657e-11,4.0812826e-13,7.990572e-14,8.553413e-14
4,300.0,1000.0,3.138856e-11,-1.0428132e-11,1.16013995e-11,2.0225703e-13,6.7195286e-14,7.4755415e-14
5,300.0,1000.0,2.8371884e-12,-2.5859599e-12,3.7871386e-12,6.46419e-14,5.8917965e-14,8.628537e-14
6,1000.0,3000.0,2.3971148e-12,-1.6908726e-12,2.5352194e-12,1.5446181e-13,1.08954004e-13,1.633608e-13
7,1000.0,3000.0,1.934323e-16,nan,2.0440006e-12,2.800837e-17,nan,2.9596464e-13
