band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,3.973917e-09,nan,5.7584613e-09,6.323078e-13,nan,9.162546e-13
1,100.0,300.0,9.2181174e-10,nan,1.8195577e-09,2.1781588e-13,nan,4.2994522e-13
2,100.0,300.0,4.834851e-10,-2.1164856e-10,2.1791086e-10,3.2533974e-13,1.4241947e-13,1.466334e-13
3,300.0,1000.0,1.4746829e-10,-3.6200345e-11,3.847028e-11,3.4845437e-13,8.553818e-14,9.090183e-14
4,300.0,1000.0,5.8277876e-11,-1.29033026e-11,1.4558969e-11,3.92155e-13,8.682702e-14,9.7968095e-14
5,300.0,1000.0,1.1056328e-11,-4.3650973e-12,5.7549707e-12,2.6125114e-13,1.0314335e-13,1.3598481e-13
6,1000.0,3000.0,1.7743927e-15,nan,2.5397945e-12,1.1939986e-16,nan,1.7090417e-13
7,1000.0,3000.0,2.398471e-17,nan,2.3498486e-12,3.987379e-18,nan,3.9065458e-13
