band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,1.02747755e-10,nan,3.2133818e-09,1.7810494e-14,nan,5.570138e-13
1,100,300,173.20508075688772,2.8241218e-10,nan,5.389174e-10,8.138792e-14,nan,1.5530975e-13
2,300,1000,547.7225575051662,1.6735113e-14,nan,6.464503e-11,1.3260789e-17,nan,5.122428e-14
3,1000,3000,1732.0508075688772,5.6816434e-11,-1.686959e-11,1.8522786e-11,1.4412873e-13,4.2793826e-14,4.6987557e-14
4,3000,10000,5477.2255750516615,1.8726522e-11,-6.3346884e-12,7.412427e-12,1.268078e-13,4.2895734e-14,5.0193705e-14
5,10000,30000,17320.508075688773,3.3884323e-12,-1.9706374e-12,2.9549468e-12,7.559838e-14,4.396635e-14,6.5927e-14
6,30000,100000,54772.25575051661,2.9039559e-18,nan,2.050229e-12,1.707735e-19,nan,1.2056821e-13
7,100000,1000000,316227.7660168379,5.677252e-18,nan,1.7812392e-12,5.5450704e-19,nan,1.7397672e-13
