band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,6.0860725e-09,nan,1.2521482e-08,9.904635e-13,nan,2.0377788e-12
1,100.0,300.0,5.1429376e-09,-1.473797e-09,1.5109971e-09,1.2765846e-12,3.6582721e-13,3.7506107e-13
2,100.0,300.0,1.7486905e-09,-1.7508725e-10,1.797247e-10,1.222158e-12,1.223683e-13,1.256094e-13
3,300.0,1000.0,4.859814e-10,-4.5071953e-11,4.5071953e-11,1.1418632e-12,1.05901175e-13,1.05901175e-13
4,300.0,1000.0,1.2911705e-10,-1.6377637e-11,1.7751427e-11,7.890466e-13,1.00085305e-13,1.0848066e-13
5,300.0,1000.0,3.7233105e-19,nan,3.157883e-12,7.13362e-21,nan,6.050298e-14
6,1000.0,3000.0,1.4998181e-12,nan,3.403256e-12,7.829822e-14,nan,1.7766746e-13
7,1000.0,3000.0,3.733523e-14,nan,3.0549508e-12,3.4592055e-15,nan,2.8304908e-13
