band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,1.6454941e-09,nan,2.4508406e-08,2.676655e-13,nan,3.9866777e-12
1,100.0,300.0,1.0542547e-08,-4.932811e-09,4.978602e-09,2.5489179e-12,1.1926274e-12,1.2036984e-12
2,100.0,300.0,1.5952725e-09,-4.3831858e-10,4.423122e-10,1.0514892e-12,2.8890817e-13,2.9154047e-13
3,300.0,1000.0,2.883156e-10,-5.904158e-11,6.093694e-11,6.4412516e-13,1.3190465e-13,1.3613908e-13
4,300.0,1000.0,2.8510055e-11,-1.1125575e-11,1.234574e-11,1.7197673e-13,6.7111064e-14,7.447127e-14
5,300.0,1000.0,6.6345185e-12,-4.065437e-12,5.0735557e-12,1.381462e-13,8.465191e-14,1.056433e-13
6,1000.0,3000.0,7.0434114e-15,nan,2.421857e-12,3.943354e-16,nan,1.3559111e-13
7,1000.0,3000.0,2.0964575e-17,nan,1.55669e-12,2.0081875e-18,nan,1.4911466e-13
