band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,2.9694525e-10,nan,3.2794971e-09,4.7847018e-14,nan,5.284279e-13
1,100,300,173.20508075688772,6.245142e-10,nan,1.1174635e-09,1.5224985e-13,nan,2.7242558e-13
2,300,1000,547.7225575051662,3.8244692e-11,nan,1.978152e-10,2.671484e-14,nan,1.3817868e-13
3,1000,3000,1732.0508075688772,9.5278986e-11,-3.5557453e-11,3.8406996e-11,2.322799e-13,8.6685243e-14,9.363212e-14
4,3000,10000,5477.2255750516615,3.836924e-11,-1.2027452e-11,1.3263669e-11,2.6801838e-13,8.401465e-14,9.264992e-14
5,10000,30000,17320.508075688773,5.3938967e-12,-3.1425838e-12,4.45624e-12,1.3149739e-13,7.661281e-14,1.0863833e-13
6,30000,100000,54772.25575051661,7.935634e-12,-3.2599034e-12,4.169968e-12,5.5432313e-13,2.277121e-13,2.912823e-13
7,100000,1000000,316227.7660168379,4.348457e-18,nan,2.0766637e-12,8.2207277e-19,nan,3.9259183e-13
