band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,4.410149e-08,nan,3.9364636e-08,7.31488e-12,nan,6.5292025e-12
1,100.0,300.0,5.7579665e-09,nan,9.062067e-09,1.4381249e-12,nan,2.2633657e-12
2,100.0,300.0,3.217159e-09,-8.590197e-10,8.663096e-10,2.1497322e-12,5.7400406e-13,5.788752e-13
3,300.0,1000.0,6.987737e-10,-1.1204458e-10,1.1463549e-10,1.548674e-12,2.483215e-13,2.5406364e-13
4,300.0,1000.0,9.378113e-11,-2.2654538e-11,2.3788747e-11,5.498282e-13,1.32821e-13,1.3947075e-13
5,300.0,1000.0,5.623096e-22,nan,3.1318277e-12,1.1278752e-23,nan,6.28179e-14
6,1000.0,3000.0,3.0144015e-16,nan,2.2682889e-12,1.6022541e-17,nan,1.2056705e-13
7,1000.0,3000.0,1.9014675e-17,nan,1.8678858e-12,1.7617588e-18,nan,1.7306444e-13
