band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,2.8058839e-08,nan,7.096947e-08,4.4088006e-12,nan,1.1151219e-11
1,100.0,300.0,2.2266192e-08,nan,2.2705112e-08,5.1021006e-12,nan,5.202675e-12
2,100.0,300.0,3.9680175e-09,-1.9447115e-09,1.956563e-09,2.5742063e-12,1.2616095e-12,1.2692979e-12
3,300.0,1000.0,5.7551297e-10,-1.6116657e-10,1.6612288e-10,1.318737e-12,3.692989e-13,3.8065585e-13
4,300.0,1000.0,1.381389e-10,-3.4438796e-11,3.6572943e-11,8.961604e-13,2.2341776e-13,2.3726282e-13
5,300.0,1000.0,6.914449e-12,-6.5307243e-12,8.885853e-12,1.5843848e-13,1.4964576e-13,2.0361146e-13
6,1000.0,3000.0,2.4153722e-12,nan,7.53972e-12,1.5669452e-13,nan,4.8913076e-13
7,1000.0,3000.0,4.3987058e-13,nan,4.3931616e-12,6.501869e-14,nan,6.493674e-13
