band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,3.9783634e-09,nan,5.582766e-09,6.335564e-13,nan,8.8905836e-13
1,100,300,173.20508075688772,3.047706e-09,-1.4475254e-09,1.4592529e-09,7.2166524e-13,3.4275902e-13,3.4553596e-13
2,300,1000,547.7225575051662,1.0505793e-09,-1.7799305e-10,1.8249449e-10,7.087217e-13,1.2007427e-13,1.2311094e-13
3,1000,3000,1732.0508075688772,1.587755e-10,-3.2196294e-11,3.4488273e-11,3.7596396e-13,7.623749e-14,8.166466e-14
4,3000,10000,5477.2255750516615,6.4738194e-11,-1.3418631e-11,1.48307e-11,4.3672441e-13,9.05222e-14,1.0004802e-13
5,10000,30000,17320.508075688773,3.990167e-12,-2.480926e-12,3.9032423e-12,9.448303e-14,5.874576e-14,9.242474e-14
6,30000,100000,54772.25575051661,9.106492e-12,-3.4953793e-12,4.5939424e-12,6.143247e-13,2.357986e-13,3.0990775e-13
7,100000,1000000,316227.7660168379,2.0293019e-12,-1.5742603e-12,2.7668852e-12,3.402182e-13,2.6392918e-13,4.638761e-13
