band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,4.423785e-14,nan,6.1110463e-09,7.6682745e-18,nan,1.0593007e-12
1,100,300,173.20508075688772,1.306148e-10,nan,7.646715e-10,3.768269e-14,nan,2.2060961e-13
2,300,1000,547.7225575051662,2.4563573e-10,-1.2437114e-10,1.3282069e-10,1.8543213e-13,9.388864e-14,1.0026726e-13
3,1000,3000,1732.0508075688772,1.1773858e-10,-3.0711166e-11,3.3070893e-11,2.7500818e-13,7.173368e-14,7.724542e-14
4,3000,10000,5477.2255750516615,2.3242611e-11,-8.913057e-12,1.0443701e-11,1.3752176e-13,5.273673e-14,6.1793235e-14
5,10000,30000,17320.508075688773,5.7182e-16,nan,3.6348077e-12,1.1191694e-17,nan,7.114067e-14
6,30000,100000,54772.25575051661,2.7369061e-18,nan,2.3477884e-12,1.4288059e-19,nan,1.2256664e-13
7,100000,1000000,316227.7660168379,8.058808e-17,nan,2.5513053e-12,7.466694e-18,nan,2.3638502e-13
