band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,3.9964054e-09,nan,4.1766284e-09,6.37893e-13,nan,6.666596e-13
1,100.0,300.0,3.1451965e-09,-1.1043094e-09,1.1455266e-09,7.489885e-13,2.6297722e-13,2.7279256e-13
2,100.0,300.0,7.316553e-10,-1.2738485e-10,1.3114175e-10,4.969326e-13,8.651845e-14,8.9070095e-14
3,300.0,1000.0,1.761307e-10,-2.5433463e-11,2.6870426e-11,4.194328e-13,6.056655e-14,6.3988494e-14
4,300.0,1000.0,7.876658e-11,-1.1585178e-11,1.2547702e-11,5.3497425e-13,7.86853e-14,8.522266e-14
5,300.0,1000.0,1.6950942e-11,-4.5995282e-12,5.4843482e-12,4.0366508e-13,1.09531904e-13,1.3060276e-13
6,1000.0,3000.0,4.9745845e-12,-2.1043707e-12,2.9185493e-12,3.3786854e-13,1.4292665e-13,1.9822479e-13
7,1000.0,3000.0,1.3350605e-16,nan,1.7299563e-12,2.2900631e-17,nan,2.967438e-13
