band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,3.5248186e-11,nan,1.0850378e-09,6.109989e-15,nan,1.8808258e-13
1,100.0,300.0,1.9974873e-15,nan,2.3399155e-10,5.8256645e-19,nan,6.824355e-14
2,100.0,300.0,7.792509e-15,nan,4.488336e-11,6.547038e-18,nan,3.7709687e-14
3,300.0,1000.0,2.210314e-11,-1.3736635e-11,1.538255e-11,6.0539464e-14,3.7623997e-14,4.213208e-14
4,300.0,1000.0,2.9435197e-11,-7.674737e-12,8.722986e-12,2.254562e-13,5.878394e-14,6.681291e-14
5,300.0,1000.0,1.7622976e-11,-5.103182e-12,6.111258e-12,4.4557462e-13,1.290275e-13,1.5451542e-13
6,1000.0,3000.0,6.480362e-12,-2.6965517e-12,3.5961256e-12,4.5051994e-13,1.8746643e-13,2.5000553e-13
7,1000.0,3000.0,4.03475e-12,-1.9074737e-12,2.8023625e-12,5.9233895e-13,2.8003495e-13,4.1141298e-13
