band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,2.3975997e-09,nan,4.04642e-09,3.8115602e-13,nan,6.432756e-13
1,100.0,300.0,1.0689404e-09,nan,1.1360363e-09,2.5203188e-13,nan,2.6785158e-13
2,100.0,300.0,2.8315703e-10,-1.686826e-10,1.7292101e-10,1.9004362e-13,1.1321298e-13,1.1605764e-13
3,300.0,1000.0,8.265336e-11,-2.7724748e-11,2.9501224e-11,1.9487789e-13,6.536867e-14,6.9557194e-14
4,300.0,1000.0,1.8007916e-11,-7.248958e-12,8.505837e-12,1.2086188e-13,4.865209e-14,5.708775e-14
5,300.0,1000.0,6.829162e-12,-3.4277635e-12,4.550647e-12,1.6101614e-13,8.081888e-14,1.07293934e-13
6,1000.0,3000.0,2.4116546e-13,nan,2.9283147e-12,1.6186056e-14,nan,1.9653672e-13
7,1000.0,3000.0,5.1187865e-17,nan,2.0040935e-12,8.4364945e-18,nan,3.3030336e-13
