band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,8.768841e-10,nan,2.0239604e-08,1.4618948e-13,nan,3.3742397e-12
1,100,300,173.20508075688772,8.44657e-09,-3.7901233e-09,3.8920382e-09,2.1126052e-12,9.479628e-13,9.734532e-13
2,300,1000,547.7225575051662,3.2030465e-09,-4.889323e-10,4.8931775e-10,2.1078564e-12,3.217559e-13,3.2200954e-13
3,1000,3000,1732.0508075688772,4.029401e-10,-7.249236e-11,7.452036e-11,8.712523e-13,1.5674571e-13,1.6113074e-13
4,3000,10000,5477.2255750516615,3.1518697e-11,-1.328473e-11,1.4757676e-11,1.7796036e-13,7.500803e-14,8.3324555e-14
5,10000,30000,17320.508075688773,4.567835e-12,-3.095042e-12,4.4834284e-12,8.8260975e-14,5.9803264e-14,8.663005e-14
6,30000,100000,54772.25575051661,1.8514335e-12,-1.4828444e-12,2.561061e-12,9.6654354e-14,7.741211e-14,1.3370056e-13
7,100000,1000000,316227.7660168379,3.2788124e-16,nan,1.8374705e-12,3.0379045e-17,nan,1.702464e-13
