band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,2.9807532e-07,-2.6901255e-08,2.6901255e-08,4.8352503e-11,4.363806e-12,4.363806e-12
1,100.0,300.0,2.1561078e-07,-5.9942393e-09,5.9942393e-09,5.277973e-11,1.46734e-12,1.46734e-12
2,100.0,300.0,8.542184e-08,-1.1018825e-09,1.1018825e-09,5.8812726e-11,7.5864337e-13,7.5864337e-13
3,300.0,1000.0,2.345843e-08,-2.6373392e-10,2.6373392e-10,5.5604167e-11,6.2513585e-13,6.2513585e-13
4,300.0,1000.0,6.7299992e-09,-1.08660754e-10,1.08660754e-10,4.4605753e-11,7.2019246e-13,7.2019246e-13
5,300.0,1000.0,1.2706006e-09,-4.3149588e-11,4.3149588e-11,2.9185356e-11,9.911345e-13,9.911345e-13
6,1000.0,3000.0,2.0041173e-10,-1.67825e-11,1.67825e-11,1.2804347e-11,1.0722375e-12,1.0722375e-12
7,1000.0,3000.0,2.2526304e-11,-5.1423757e-12,6.0500207e-12,2.9476846e-12,6.729067e-13,7.9167684e-13
