band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,1.3468685e-08,nan,3.0541884e-08,2.2013329e-12,nan,4.9917904e-12
1,100,300,173.20508075688772,2.1172257e-08,-3.5404277e-09,3.5387802e-09,5.2459885e-12,8.772349e-13,8.768267e-13
2,300,1000,547.7225575051662,8.558049e-09,-4.251275e-10,4.251275e-10,5.917171e-12,2.9393987e-13,2.9393987e-13
3,1000,3000,1732.0508075688772,2.3130124e-09,-9.819564e-11,9.819564e-11,5.4558966e-12,2.3162228e-13,2.3162228e-13
4,3000,10000,5477.2255750516615,5.943833e-10,-3.741802e-11,3.741802e-11,3.8790204e-12,2.441947e-13,2.441947e-13
5,10000,30000,17320.508075688773,1.004762e-10,-1.3359655e-11,1.4505424e-11,2.2605394e-12,3.0056898e-13,3.2634678e-13
6,30000,100000,54772.25575051661,7.459399e-12,-3.162113e-12,4.311323e-12,4.6112354e-13,1.9547481e-13,2.6651644e-13
7,100000,1000000,316227.7660168379,6.377919e-18,nan,2.5096448e-12,7.4680637e-19,nan,2.9386053e-13
