band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,1.8467092e-12,nan,2.173306e-08,3.0971312e-16,nan,3.6448696e-12
1,100,300,173.20508075688772,5.223279e-09,nan,3.9265724e-09,1.3139916e-12,nan,9.877861e-13
2,300,1000,547.7225575051662,2.7644314e-09,-5.322461e-10,5.4179866e-10,1.8066491e-12,3.4784076e-13,3.540837e-13
3,1000,3000,1732.0508075688772,3.6942796e-10,-7.8815586e-11,8.132392e-11,7.86719e-13,1.678425e-13,1.7318417e-13
4,3000,10000,5477.2255750516615,2.8199502e-11,-1.5460003e-11,1.690074e-11,1.5546383e-13,8.523098e-14,9.317376e-14
5,10000,30000,17320.508075688773,7.3152776e-17,nan,3.2767712e-12,1.3866314e-18,nan,6.211212e-14
6,30000,100000,54772.25575051661,8.105309e-18,nan,2.289868e-12,4.2313881e-19,nan,1.1954288e-13
7,100000,1000000,316227.7660168379,4.788853e-16,nan,2.7110141e-12,4.436996e-17,nan,2.5118246e-13
