band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,1.1090492e-09,nan,1.8506175e-09,1.7828898e-13,nan,2.9750234e-13
1,100,300,173.20508075688772,8.5992763e-10,nan,8.099974e-10,2.0843605e-13,nan,1.9633356e-13
2,300,1000,547.7225575051662,1.3071903e-10,-1.2343948e-10,1.2726702e-10,9.0682094e-14,8.5632144e-14,8.828737e-14
3,1000,3000,1732.0508075688772,8.0109135e-11,-2.3513342e-11,2.5347623e-11,1.9417484e-13,5.699349e-14,6.143957e-14
4,3000,10000,5477.2255750516615,2.4233515e-11,-7.42792e-12,8.712342e-12,1.6811215e-13,5.152879e-14,6.043905e-14
5,10000,30000,17320.508075688773,1.38085324e-11,-4.4271652e-12,5.4020013e-12,3.3470207e-13,1.0730911e-13,1.3093796e-13
6,30000,100000,54772.25575051661,3.6468077e-12,-1.8350328e-12,2.68416e-12,2.5298546e-13,1.2729944e-13,1.8620489e-13
7,100000,1000000,316227.7660168379,5.7299815e-16,nan,2.0023965e-12,1.0573026e-16,nan,3.6948442e-13
