band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,1.930217e-09,nan,5.8658407e-09,3.0563662e-13,nan,9.288155e-13
1,100.0,300.0,2.9676173e-09,-1.3396106e-09,1.357789e-09,6.928955e-13,3.127796e-13,3.17024e-13
2,100.0,300.0,5.754032e-10,-1.7110097e-10,1.7617417e-10,3.8171614e-13,1.13506494e-13,1.16872e-13
3,300.0,1000.0,1.2958926e-10,-3.236153e-11,3.4146866e-11,3.025721e-13,7.555947e-14,7.972797e-14
4,300.0,1000.0,2.7010578e-11,-9.305226e-12,1.044253e-11,1.7918519e-13,6.1729844e-14,6.927458e-14
5,300.0,1000.0,6.677895e-12,-3.2062495e-12,4.429573e-12,1.5591914e-13,7.486126e-14,1.03424085e-13
6,1000.0,3000.0,1.5951141e-12,-1.1657048e-12,2.2215402e-12,1.0581811e-13,7.733157e-14,1.4737453e-13
7,1000.0,3000.0,1.5381456e-13,nan,2.9290628e-12,2.4399452e-14,nan,4.6463435e-13
