band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,5.2317123e-08,-1.1610584e-08,9.440209e-09,8.554074e-12,1.8983803e-12,1.5435147e-12
1,100,300,173.20508075688772,4.9261857e-08,-1.5797342e-09,1.5797342e-09,1.2270665e-11,3.9349692e-13,3.9349692e-13
2,300,1000,547.7225575051662,2.2245896e-08,-3.5026657e-10,3.5026657e-10,1.5580696e-11,2.4532153e-13,2.4532153e-13
3,1000,3000,1732.0508075688772,7.069719e-09,-1.1385322e-10,1.1385322e-10,1.6945945e-11,2.729034e-13,2.729034e-13
4,3000,10000,5477.2255750516615,2.2849906e-09,-5.5461687e-11,5.5461687e-11,1.529155e-11,3.711591e-13,3.711591e-13
5,10000,30000,17320.508075688773,4.8899235e-10,-2.435121e-11,2.435121e-11,1.1289214e-11,5.621888e-13,5.621888e-13
6,30000,100000,54772.25575051661,7.8486675e-11,-9.25924e-12,1.0028379e-11,5.027338e-12,5.9308575e-13,6.4235173e-13
7,100000,1000000,316227.7660168379,2.7723073e-12,-1.5090366e-12,2.3307133e-12,3.6041287e-13,1.9618179e-13,3.030036e-13
