band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,3.970598e-09,nan,5.387283e-09,6.2525224e-13,nan,8.483384e-13
1,100.0,300.0,1.4145256e-09,-1.0976372e-09,1.0997541e-09,3.2584764e-13,2.5284977e-13,2.5333742e-13
2,100.0,300.0,2.3379956e-10,-1.12701834e-10,1.1800315e-10,1.5263184e-13,7.357536e-14,7.703623e-14
3,300.0,1000.0,8.214212e-11,-1.9470432e-11,2.1940368e-11,1.8922114e-13,4.4851746e-14,5.054145e-14
4,300.0,1000.0,9.544998e-12,-6.1532524e-12,7.3882254e-12,6.23128e-14,4.0170402e-14,4.82327e-14
5,300.0,1000.0,2.9360655e-12,-1.8069215e-12,2.846352e-12,6.7634686e-14,4.1623924e-14,6.556806e-14
6,1000.0,3000.0,5.536319e-20,nan,2.0296657e-12,3.6142865e-21,nan,1.3250309e-13
7,1000.0,3000.0,2.0852437e-17,nan,1.8985254e-12,3.1429749e-18,nan,2.8615446e-13
