band_index,e_min_MeV,e_max_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50.0,100.0,7.211896e-09,nan,7.287399e-09,1.1483863e-12,nan,1.160409e-12
1,100.0,300.0,3.3370178e-09,-1.606287e-09,1.6763181e-09,7.8998125e-13,3.8026068e-13,3.968393e-13
2,100.0,300.0,1.426748e-09,-1.999984e-10,2.0480209e-10,9.622092e-13,1.3488036e-13,1.3812001e-13
3,300.0,1000.0,3.8153394e-10,-4.2247483e-11,4.4173023e-11,9.0321565e-13,1.0001361e-13,1.04572e-13
4,300.0,1000.0,1.2867085e-10,-1.7315652e-11,1.8614568e-11,8.677655e-13,1.16778e-13,1.25538e-13
5,300.0,1000.0,2.0424593e-11,-5.785061e-12,7.000069e-12,4.835169e-13,1.3695131e-13,1.6571454e-13
6,1000.0,3000.0,2.9531197e-12,-1.9009171e-12,3.0142314e-12,1.9916053e-13,1.2819922e-13,2.0328193e-13
7,1000.0,3000.0,8.3975914e-13,nan,3.106604e-12,1.4065245e-13,nan,5.203295e-13
