input_name,input_ra,input_dec,sep_deg,Source_Name,ASSOC1,RAJ2000,DEJ2000,SpectrumType,ASSOC2,ASSOC_FGL,DEC_Counterpart,Energy_Flux100,Flags,Flux1000,Flux_Band,Flux_Peak,LP_EPeak,LP_Flux_Density,LP_Index,LP_SigCurv,LP_beta,PL_Flux_Density,PL_Index,Pivot_Energy,RA_Counterpart,Signif_Avg,Signif_Peak,Sqrt_TS_Band,Unc_Counterpart,Unc_Energy_Flux100,Unc_Flux1000,Unc_Flux_Band,Unc_Flux_Peak,Unc_LP_EPeak,Unc_LP_Flux_Density,Unc_LP_Index,Unc_LP_beta,Unc_PL_Flux_Density,Unc_PL_Index,nuFnu_Band
UGC3374,88.72,46.44,2.39105,FL16Y J0542.9+4741 ,                            ,85.7286,47.6916,LogParabola      ,WISE J054149.24+472907.6      ,                  ,nan,2.330866e-12,0,1.7533006e-10,"[1.1592052e-08 3.2704999e-09 9.5106079e-10 2.2599395e-10 7.1710915e-13
 1.3279186e-12 2.5828018e-17 5.5575374e-17]",-inf,272.70435,8.1936194e-13,2.5546665,2.2401292,0.2837768,6.173936e-13,2.7466877,724.6451,nan,4.755756,-inf,"[0.71605474 1.3567117  3.4479446  5.0914626  0.         0.46658486
 0.         0.        ]",nan,7.421821e-13,4.176729e-11,"[[           nan  1.5889446e-08]
 [-2.3428703e-09  2.3750193e-09]
 [-2.8296279e-10  2.8856137e-10]
 [-4.8150376e-11  5.0992332e-11]
 [           nan  9.5167233e-12]
 [           nan  4.3211567e-12]
 [           nan  2.5435418e-12]
 [           nan  1.8965194e-12]]",-inf,264.49988,1.6605959e-13,0.290402,0.17090683,1.199621e-13,0.13197064,"[1.9135219e-12 8.0540425e-13 6.2336139e-13 4.9225093e-13 4.1204951e-15
 2.6187885e-14 1.3492232e-18 5.1492018e-18]"
NGC7603,349.74,0.24,2.07842,FL16Y J2326.3+0112 ,SDSS J232625.63+011208.6    ,351.5765,1.2135,PowerLaw         ,                              ,4FGL J2326.2+0113 ,1.20241497222,3.6423048e-12,0,3.1228808e-10,"[5.9088734e-09 3.7856349e-09 9.0885383e-10 2.7390143e-10 5.8267211e-11
 7.1425773e-12 3.2867843e-12 1.6651336e-12]",1.9846734e-08,84.84097,1.5940278e-13,2.2115898,0.80390644,0.036630433,1.5106582e-13,2.2375922,1523.7769,351.606848933,14.132802,10.206679,"[ 0.8309246  2.8026543  5.4446425 10.129517   7.1206455  3.468732
  2.895704   2.6431684]",1.3e-07,3.4982493e-13,3.0933114e-11,"[[           nan  6.0466587e-09]
 [-1.3713429e-09  1.3876947e-09]
 [-1.8064951e-10  1.8661551e-10]
 [-3.6383410e-11  3.8348172e-11]
 [-1.2590766e-11  1.4052982e-11]
 [-3.5967017e-12  5.0538003e-12]
 [-1.9254440e-12  3.0859683e-12]
 [-1.1744443e-12  2.2834668e-12]]",2.777847e-09,348.773,1.7753684e-14,0.08925085,0.044711683,1.4376341e-14,0.07425193,"[9.3779314e-13 8.8891503e-13 6.0701043e-13 6.4315523e-13 3.8915835e-13
 1.6771677e-13 2.1951962e-13 2.7003511e-13]"
Mrk1040,37.06,31.31,1.79227,FL16Y J0226.8+2932 ,                            ,36.7163,29.5424,PowerLaw         ,                              ,                  ,nan,3.2791567e-12,0,1.3260393e-10,"[1.3349411e-08 1.0594649e-08 9.1041208e-10 1.5413085e-10 5.5683383e-12
 3.0898962e-12 9.8708402e-16 4.6954504e-16]",-inf,0.8882118,1.9361953e-12,2.8277478,0.7675972,0.065402955,1.8001267e-12,2.852826,497.46042,nan,6.9875207,-inf,"[0.9348238  5.016752   4.2814     4.9124756  0.82221997 1.2024413
 0.         0.        ]",nan,4.9062376e-13,2.7054118e-11,"[[           nan  1.3112761e-08]
 [-2.1622879e-09  2.1812998e-09]
 [-2.2245721e-10  2.2776128e-10]
 [-3.5499298e-11  3.7864795e-11]
 [           nan  8.5803734e-12]
 [-2.7217100e-12  4.2209270e-12]
 [           nan  2.3844882e-12]
 [           nan  2.1916136e-12]]",-inf,7.546057,3.0733649e-13,0.14740874,0.08505771,2.5101896e-13,0.12053016,"[2.0685125e-12 2.3481442e-12 5.6782611e-13 3.4160779e-13 3.4729855e-14
 6.8482892e-14 6.1564657e-17 6.1896469e-17]"
ESO565-G019,143.6815,-21.9278,0.85356,FL16Y J0936.4-2110 ,3HSP J093623.1-211039       ,144.1053,-21.1707,LogParabola      ,                              ,4FGL J0936.3-2111 ,-21.177690505981445,3.5090496e-12,0,3.6622316e-10,"[2.71294676e-09 7.49509916e-12 1.60006397e-10 2.22419250e-10
 1.02888996e-10 4.64958315e-11 8.28184570e-12 6.90726318e-17]",-inf,10461.881,4.1522954e-14,1.5772005,3.9256265,0.18380977,3.28505e-14,1.8073442,3312.283,144.09632873535156,18.647852,-inf,"[ 0.5519808  0.         1.4690696  8.819065  11.075224  11.773382
  5.6371565  0.       ]",0.0045,4.1557851e-13,3.7060303e-11,"[[           nan  4.2139563e-09]
 [           nan  7.5722617e-10]
 [-1.0924150e-10  1.1498556e-10]
 [-3.3734664e-11  3.4902643e-11]
 [-1.5571835e-11  1.6870411e-11]
 [-8.8114923e-12  9.9619271e-12]
 [-3.2657288e-12  4.2699616e-12]
 [           nan  2.3019473e-12]]",-inf,3197.4192,4.538237e-15,0.11835063,0.059473835,3.069582e-15,0.059876505,"[4.6734247e-13 2.0897002e-15 1.2501480e-13 5.7087717e-13 7.2664617e-13
 1.0971737e-12 5.3031684e-13 8.2035439e-18]"
TwoMASXJ20145928+2523010,303.75,25.38,1.51596,FL16Y J2009.6+2427 ,                            ,302.4247,24.4561,LogParabola      ,                              ,4FGL J2009.5+2425 ,nan,5.2619723e-12,17,3.7061912e-10,"[1.8467092e-12 5.2232791e-09 2.7644314e-09 3.6942796e-10 2.8199502e-11
 7.3152776e-17 8.1053087e-18 4.7888532e-16]",-inf,314.57343,1.0353151e-12,2.8253608,4.0196786,0.38459727,6.4278395e-13,2.6942751,919.8742,nan,6.3684955,-inf,"[0.        0.9933417 5.3642616 4.987842  1.9118814 0.        0.
 0.       ]",nan,1.1030493e-12,6.737204e-11,"[[           nan  2.1733060e-08]
 [           nan  3.9265724e-09]
 [-5.3224608e-10  5.4179866e-10]
 [-7.8815586e-11  8.1323920e-11]
 [-1.5460003e-11  1.6900739e-11]
 [           nan  3.2767712e-12]
 [           nan  2.2898679e-12]
 [           nan  2.7110141e-12]]",-inf,125.53439,1.6195708e-13,0.20528309,0.13255012,1.0936782e-13,0.0983895,"[3.0971312e-16 1.3139916e-12 1.8066491e-12 7.8671900e-13 1.5546383e-13
 1.3866314e-18 4.2313881e-19 4.4369961e-17]"
NGC4102,181.6,52.71,1.59735,FL16Y J1213.0+5129 ,1RXS J121301.8+512942       ,183.267,51.484,PowerLaw         ,                              ,4FGL J1213.0+5129 ,51.4932365389,3.1324188e-12,0,2.8161096e-10,"[3.9964054e-09 3.1451965e-09 7.3165529e-10 1.7613069e-10 7.8766577e-11
 1.6950942e-11 4.9745845e-12 1.3350605e-16]",-inf,1373.8396,6.716788e-14,2.0391035,1.0232828,0.0444044,6.338376e-14,2.0911279,2133.8362,183.253367854,18.127186,-inf,"[ 0.8923672  2.864911   6.3164134  9.243626  11.754877   7.4333615
  5.5221624  0.       ]",7.3e-07,2.638079e-13,2.382503e-11,"[[           nan  4.1766284e-09]
 [-1.1043094e-09  1.1455266e-09]
 [-1.2738485e-10  1.3114175e-10]
 [-2.5433463e-11  2.6870426e-11]
 [-1.1585178e-11  1.2547702e-11]
 [-4.5995282e-12  5.4843482e-12]
 [-2.1043707e-12  2.9185493e-12]
 [           nan  1.7299563e-12]]",-inf,1825.1226,6.6915493e-15,0.092191406,0.04364316,5.336249e-15,0.06659968,"[6.3789300e-13 7.4898849e-13 4.9693257e-13 4.1943280e-13 5.3497425e-13
 4.0366508e-13 3.3786854e-13 2.2900631e-17]"
Q0241+622,41.24,62.47,0.87441,FL16Y J0243.3+6319 ,NVSS J024314+632113         ,40.8378,63.325,LogParabola      ,                              ,4FGL J0243.3+6319 ,63.3538703918457,1.4390877e-12,4,1.0482383e-10,"[1.0767622e-11 1.4424692e-12 3.0710982e-14 4.8504183e-11 4.7215575e-11
 1.5312090e-11 7.0318100e-12 1.2686638e-17]",-inf,16084.967,2.5842088e-15,1.7203262,3.5480263,0.3568804,1.4747367e-15,1.7763976,10870.513,40.81241989135742,6.646974,-inf,"[0.        0.        0.        1.675067  4.8421755 3.7918181 4.450946
 0.       ]",0.00045,2.9758748e-13,3.1793037e-11,"[[           nan  5.2916458e-09]
 [           nan  1.5637618e-09]
 [           nan  1.0003075e-10]
 [-2.9690826e-11  3.1758648e-11]
 [-1.2678693e-11  1.3934592e-11]
 [-5.3751673e-12  6.3922639e-12]
 [-2.7261977e-12  3.5464064e-12]
 [           nan  1.7738784e-12]]",-inf,5434.2266,5.729756e-16,0.23402062,0.13817865,3.1753298e-16,0.11786913,"[1.8664805e-15 4.2069559e-16 2.6562502e-17 1.3628263e-13 3.5537881e-13
 3.6608032e-13 4.3762536e-13 1.2895506e-18]"
AXJ1737.4-2907,264.3681,-29.134,0.16647,FL16Y J1737.2-2858 ,                            ,264.3206,-28.9728,PowerLaw         ,                              ,4FGL J1737.1-2901 ,nan,1.0040644e-11,8196,6.88948e-10,"[2.8058839e-08 2.2266192e-08 3.9680175e-09 5.7551297e-10 1.3813890e-10
 6.9144490e-12 2.4153722e-12 4.3987058e-13]",-inf,915.50354,9.772473e-14,2.5217092,1.9105096,0.23250917,7.829145e-14,2.49112,2811.2522,nan,4.9249916,-inf,"[0.37744412 0.814492   2.0591655  3.690335   4.519317   1.0723199
 0.35195205 0.170917  ]",nan,2.9338964e-12,1.3623701e-10,"[[           nan  7.0969470e-08]
 [           nan  2.2705112e-08]
 [-1.9447115e-09  1.9565629e-09]
 [-1.6116657e-10  1.6612288e-10]
 [-3.4438796e-11  3.6572943e-11]
 [-6.5307243e-12  8.8858530e-12]
 [           nan  7.5397197e-12]
 [           nan  4.3931616e-12]]",-inf,912.1192,1.938745e-14,0.24318752,0.15648463,1.4924267e-14,0.14379185,"[4.4088006e-12 5.1021006e-12 2.5742063e-12 1.3187370e-12 8.9616042e-13
 1.5843848e-13 1.5669452e-13 6.5018689e-14]"
NGC4388,186.44,12.66,0.76293,FL16Y J1223.7+1203 ,WISEA J122348.69+120225.4   ,185.9496,12.0662,PowerLaw         ,                              ,4FGL J1223.3+1213 ,12.040397644042969,2.5556569e-12,0,2.0450124e-10,"[8.2600975e-09 3.1364340e-09 8.8229202e-10 1.2740693e-10 3.1572529e-11
 1.0983884e-11 4.1629690e-12 9.5002663e-20]",-inf,nan,1.07198904e-13,2.348655,0.3855047,-0.022476945,1.1214769e-13,2.3381047,1465.6149,185.95291137695312,9.382753,-inf,"[0.91568714 1.708309   4.9724455  4.62985    4.105785   4.5381174
 3.660453   0.        ]",7e-07,3.5867443e-13,2.7965772e-11,"[[           nan  7.9193097e-09]
 [-1.8331519e-09  1.8399398e-09]
 [-1.8913501e-10  1.9395413e-10]
 [-3.1579225e-11  3.4213524e-11]
 [-1.0237395e-11  1.1766698e-11]
 [-4.3222661e-12  5.5835575e-12]
 [-2.3299383e-12  3.5547754e-12]
 [           nan  2.3837046e-12]]",-inf,nan,1.6934028e-14,0.10070005,0.04422084,1.4776308e-14,0.10351227,"[1.3057031e-12 7.2926468e-13 5.8240397e-13 2.9623889e-13 2.0841136e-13
 2.5539063e-13 2.7479901e-13 1.4830631e-20]"
LEDA168563,73.02,49.55,1.77562,FL16Y J0453.5+5118 ,SNR G156.2+05.7             ,73.3855,51.3103,LogParabola      ,                              ,4FGL J0452.9+5117 ,51.83333206176758,5.9595614e-12,1,4.588371e-10,"[8.7688412e-10 8.4465697e-09 3.2030465e-09 4.0294010e-10 3.1518697e-11
 4.5678348e-12 1.8514335e-12 3.2788124e-16]",-inf,316.2347,5.827344e-13,2.8798895,4.013378,0.33286124,3.9926686e-13,2.631932,1185.821,74.66666412353516,8.85113,-inf,"[0.        2.2023332 6.8763375 6.0025964 2.6616826 1.8564696 1.5064697
 0.       ]",0.9166667,9.925163e-13,6.116857e-11,"[[           nan  2.0239604e-08]
 [-3.7901233e-09  3.8920382e-09]
 [-4.8893228e-10  4.8931775e-10]
 [-7.2492359e-11  7.4520362e-11]
 [-1.3284730e-11  1.4757676e-11]
 [-3.0950420e-12  4.4834284e-12]
 [-1.4828444e-12  2.5610610e-12]
 [           nan  1.8374705e-12]]",-inf,124.744965,7.445464e-14,0.17680213,0.119619526,5.0315817e-14,0.07700907,"[1.4618948e-13 2.1126052e-12 2.1078564e-12 8.7125229e-13 1.7796036e-13
 8.8260975e-14 9.6654354e-14 3.0379045e-17]"
