input_name,input_ra,input_dec,sep_deg,Source_Name,ASSOC1,RAJ2000,DEJ2000,SpectrumType,ASSOC2,ASSOC_FGL,DEC_Counterpart,Energy_Flux100,Flags,Flux1000,Flux_Band,Flux_Peak,LP_EPeak,LP_Flux_Density,LP_Index,LP_SigCurv,LP_beta,PL_Flux_Density,PL_Index,Pivot_Energy,RA_Counterpart,Signif_Avg,Signif_Peak,Sqrt_TS_Band,Unc_Counterpart,Unc_Energy_Flux100,Unc_Flux1000,Unc_Flux_Band,Unc_Flux_Peak,Unc_LP_EPeak,Unc_LP_Flux_Density,Unc_LP_Index,Unc_LP_beta,Unc_PL_Flux_Density,Unc_PL_Index,nuFnu_Band
NGC5548,214.5,25.14,0.47021,FL16Y J1419.5+2527 ,                            ,214.8789,25.4621,PowerLaw         ,CRATES J141914+252450         ,4FGL J1419.5+2527 ,nan,1.4471374e-12,20,1.3018868e-10,"[9.3307684e-10 9.3543628e-10 3.9576195e-10 5.3261302e-11 3.8031352e-11
 6.5018256e-12 2.9054873e-12 3.5781352e-17]",1.4537938e-08,1785.3048,2.166831e-14,2.0246181,0.126433,0.036150098,2.0880543e-14,2.0827808,2509.5115,nan,6.528847,10.315912,"[0.2894251 0.8126351 2.4710891 2.3129566 5.789135  2.78597   1.0880271
 0.       ]",nan,2.681692e-13,2.4050763e-11,"[[           nan  3.5304817e-09]
 [           nan  9.7636998e-10]
 [-1.6247083e-10  1.6527542e-10]
 [-2.4497196e-11  2.6827188e-11]
 [-9.5578493e-12  1.0727271e-11]
 [-3.3470531e-12  4.5725489e-12]
 [-2.7086475e-12  3.6630907e-12]
 [           nan  2.2122048e-12]]",1.98182e-09,6900.695,4.6363335e-15,0.22942936,0.103024244,3.85718e-15,0.15290509,"[1.4900026e-13 2.2300525e-13 2.6914785e-13 1.2697338e-13 2.5864171e-13
 1.5500161e-13 1.9759494e-13 6.1649031e-18]"
MCG+4-48-2,307.15,25.73,1.81331,FL16Y J2031.9+2405 ,MG2 J203151+2405            ,307.9995,24.0885,PowerLaw         ,                              ,4FGL J2031.9+2403 ,24.09261703491211,1.4627077e-12,0,1.2306817e-10,"[2.9694525e-10 6.2451422e-10 3.8244692e-11 9.5278986e-11 3.8369238e-11
 5.3938967e-12 7.9356339e-12 4.3484570e-18]",-inf,50555.8,2.259922e-15,1.8198992,0.527821,0.05020544,2.0661709e-15,1.8548454,8410.147,307.974853515625,5.6912575,-inf,"[0.08636113 0.517673   0.08838304 2.824044   3.8709002  2.595327
 4.5901313  0.        ]",7.4e-07,3.4935482e-13,3.4369854e-11,"[[           nan  3.2794971e-09]
 [           nan  1.1174635e-09]
 [           nan  1.9781519e-10]
 [-3.5557453e-11  3.8406996e-11]
 [-1.2027452e-11  1.3263669e-11]
 [-3.1425838e-12  4.4562401e-12]
 [-3.2599034e-12  4.1699682e-12]
 [           nan  2.0766637e-12]]",-inf,154257.25,6.2326024e-16,0.19310187,0.08910648,4.7690554e-16,0.14961265,"[4.7847018e-14 1.5224985e-13 2.6714840e-14 2.3227991e-13 2.6801838e-13
 1.3149739e-13 5.5432313e-13 8.2207277e-19]"
LEDA138501,32.41,52.44,0.99599,FL16Y J0212.2+5321 ,1SXPS J021210.6+532136      ,33.0517,53.3577,LogParabola      ,                              ,4FGL J0212.1+5321 ,53.3607805,1.4798161e-11,0,2.5692801e-09,"[1.7076648e-08 5.7552838e-09 5.2558971e-09 2.1528803e-09 4.1328790e-10
 8.4241381e-12 3.6515650e-21 1.0301165e-13]",-inf,1265.3005,2.5190516e-12,1.9317371,16.426952,0.4302361,1.8240483e-12,2.2432246,1168.8002,33.043637,57.22406,-inf,"[1.5373542e+00 4.1919084e+00 2.4576290e+01 4.3832466e+01 2.8012604e+01
 3.4896445e+00 0.0000000e+00 1.9248849e-02]",1.482e-05,5.6046194e-13,7.480278e-11,"[[-1.1087761e-08  1.1235783e-08]
 [-1.4083946e-09  1.4688523e-09]
 [-2.6742011e-10  2.6742011e-10]
 [-7.7792911e-11  7.7792911e-11]
 [-2.7114977e-11  2.7114977e-11]
 [-3.5770388e-12  4.5955084e-12]
 [           nan  2.0691075e-12]
 [           nan  2.9940564e-12]]",-inf,66.94608,7.899454e-14,0.048973892,0.038400337,4.8360696e-14,0.020359857,"[2.9600992e-12 1.6354202e-12 3.9331290e-12 5.0385156e-12 2.4723791e-12
 1.6713504e-13 1.9063047e-22 9.5442953e-15]"
ThreeC445,335.96,-2.1,1.92612,FL16Y J2218.8-0334 ,PKS 2216-03                 ,334.7218,-3.5767,LogParabola      ,                              ,4FGL J2219.2-0342 ,-3.59357765,8.791665e-12,0,5.215547e-10,"[4.3974307e-08 1.5761605e-08 3.3000509e-09 5.0151749e-10 6.2234988e-11
 3.7423615e-12 1.3927349e-15 4.6937013e-16]",7.037758e-08,8.863198,7.690027e-12,2.574618,2.0931232,0.073271826,7.19814e-12,2.6492126,447.21817,334.716823858,22.048126,17.276178,"[ 3.062771   8.4199505 14.724519  12.936771   6.349442   1.4531162
  0.         0.       ]",7.5e-08,5.742703e-13,4.178772e-11,"[[-1.42881023e-08  1.53186299e-08]
 [-1.98126715e-09  2.00613526e-09]
 [-2.63869898e-10  2.63869898e-10]
 [-5.11994301e-11  5.40910997e-11]
 [-1.39472765e-11  1.55949732e-11]
 [-2.89566027e-12  4.40115088e-12]
 [            nan  2.91716282e-12]
 [            nan  2.74369069e-12]]",5.228507e-09,20.10778,4.796936e-13,0.06801681,0.03698609,3.9631745e-13,0.047008354,"[6.9604504e-12 3.6310178e-12 2.1144482e-12 1.1197115e-12 3.8461684e-13
 8.1094799e-14 8.3202498e-17 5.2543876e-17]"
NGC1194,45.95,-1.1,0.27408,FL16Y J0304.5-0054 ,RX J0304.5-0054             ,46.1386,-0.9011,PowerLaw         ,                              ,4FGL J0304.5-0054 ,-0.90130895,2.1181605e-12,0,1.8795017e-10,"[1.8779929e-09 1.0069532e-09 3.9455217e-10 1.3097104e-10 4.1338107e-11
 1.1896559e-11 9.4150443e-12 9.0734245e-23]",-inf,13064.891,1.3994277e-14,1.9480252,0.21405645,0.020951593,1.3450129e-14,1.966712,3779.435,46.1414966667,9.7377405,-inf,"[0.627632   0.93558407 2.5390928  4.80782    5.188272   3.6243415
 6.611744   0.        ]",6.3024993e-07,3.27253e-13,2.986945e-11,"[[            nan  2.75572454e-09]
 [            nan  9.44652245e-10]
 [-1.60260638e-10  1.64615543e-10]
 [-3.23099915e-11  3.46691773e-11]
 [-1.11280603e-11  1.25887625e-11]
 [-5.01714122e-12  6.37601734e-12]
 [-3.60452965e-12  4.77164662e-12]
 [            nan  2.48868417e-12]]",-inf,45578.062,2.5593348e-15,0.12624379,0.05530688,2.076956e-15,0.10781154,"[3.0125089e-13 2.4276357e-13 2.7195046e-13 3.1575445e-13 2.8492855e-13
 2.8681086e-13 6.4894477e-13 1.6370869e-23]"
NGC7319,339.01,33.98,2.9188,FL16Y J2221.9+3356 ,TXS 2219+337                ,335.4909,33.9455,PowerLaw         ,                              ,4FGL J2221.8+3358 ,33.98112106323242,1.1556864e-12,0,1.0120527e-10,"[2.3975997e-09 1.0689404e-09 2.8315703e-10 8.2653363e-11 1.8007916e-11
 6.8291618e-12 2.4116546e-13 5.1187865e-17]",-inf,1383.2104,1.5095077e-14,2.1242135,0.79776233,0.09107998,1.3337166e-14,2.193626,2735.458,335.4679870605469,4.647479,-inf,"[0.50800776 0.8460253  1.6464713  3.2064314  3.1171377  3.0648916
 0.1589859  0.        ]",5.9e-07,2.9514748e-13,2.3881909e-11,"[[           nan  4.0464201e-09]
 [           nan  1.1360363e-09]
 [-1.6868260e-10  1.7292101e-10]
 [-2.7724748e-11  2.9501224e-11]
 [-7.2489579e-12  8.5058367e-12]
 [-3.4277635e-12  4.5506472e-12]
 [           nan  2.9283147e-12]
 [           nan  2.0040935e-12]]",-inf,2656.0764,3.983202e-15,0.25214544,0.119902596,3.11914e-15,0.1701979,"[3.8115602e-13 2.5203188e-13 1.9004362e-13 1.9487789e-13 1.2086188e-13
 1.6101614e-13 1.6186056e-14 8.4364945e-18]"
NGC6240,253.25,2.4,1.10395,FL16Y J1655.6+0316 ,                            ,253.9142,3.2824,PowerLaw         ,                              ,4FGL J1655.6+0317 ,nan,1.6574723e-12,0,1.4418351e-10,"[1.1851629e-09 1.0610459e-09 4.8242348e-11 1.0162752e-10 4.2278323e-11
 1.4621606e-11 3.0093421e-12 2.7392950e-17]",-inf,10286.185,6.6174813e-15,1.7954941,1.7621763,0.1643565,5.0777093e-15,1.9150891,5521.5605,nan,7.200395,-inf,"[0.3778316  0.86485994 0.2854855  3.046783   4.8499036  4.8055396
 3.5497906  0.        ]",nan,3.347377e-13,3.142093e-11,"[[           nan  2.9282710e-09]
 [           nan  1.0356975e-09]
 [           nan  1.8172704e-10]
 [-3.5552505e-11  3.7999309e-11]
 [-1.1640055e-11  1.3084901e-11]
 [-5.2837526e-12  6.5743318e-12]
 [-1.7278030e-12  2.7662868e-12]
 [           nan  2.3309048e-12]]",-inf,6132.9814,1.5343279e-15,0.20985612,0.11093972,1.0155559e-15,0.12646055,"[1.9050534e-13 2.5711898e-13 3.3456331e-14 2.4626988e-13 2.9320247e-13
 3.5431949e-13 2.0869953e-13 5.0491746e-18]"
LEDA86269,71.04,28.22,0.80833,FL16Y J0440.9+2750 ,B2 0437+27B                 ,70.2355,27.8339,LogParabola      ,                              ,4FGL J0440.8+2749 ,27.8463597472,6.012111e-12,0,7.2914175e-10,"[7.9143652e-09 3.5836503e-09 1.1114140e-09 4.4004372e-10 1.8681114e-10
 7.0641076e-11 5.7374231e-12 1.0315882e-12]",-inf,5418.3413,9.520739e-14,1.8136965,3.5852885,0.15574914,8.186063e-14,2.021589,2979.3394,70.2098539167,21.179451,-inf,"[ 0.3149308   1.1764768   4.099359    9.23194    14.07922    13.169733
  2.8950975   0.97810847]",2.1e-07,6.661823e-13,6.341772e-11,"[[           nan  1.6055186e-08]
 [-3.0769551e-09  3.0821115e-09]
 [-2.8382433e-10  2.8911823e-10]
 [-5.7995306e-11  6.1137539e-11]
 [-2.2433930e-11  2.3874866e-11]
 [-1.1110549e-11  1.2696818e-11]
 [-3.0019958e-12  4.1702523e-12]
 [           nan  2.8328971e-12]]",-inf,1437.2234,8.33271e-15,0.11336933,0.05697069,6.20707e-15,0.055428244,"[1.3383003e-12 9.5866229e-13 8.3139685e-13 1.0956013e-12 1.2820067e-12
 1.6383407e-12 3.6273586e-13 1.2191897e-13]"
CGCG420-015,73.36,4.06,2.86867,FL16Y J0457.0+0647 ,4C +06.21                   ,74.2572,6.7861,PowerLaw         ,                              ,4FGL J0457.0+0646 ,6.75201687778,3.3779316e-12,0,2.2969218e-10,"[7.0232238e-09 3.7344208e-09 1.2408958e-09 2.0481503e-10 2.7599241e-11
 7.0805861e-12 3.8008003e-23 5.6455606e-17]",3.1830687e-08,16.271397,2.7799654e-13,2.4745944,0.8474474,0.05605113,2.5828035e-13,2.4987874,1122.139,74.2821247875,9.252063,8.669341,"[0.41496345 1.4639184  5.53783    6.5080867  3.3803413  3.7435071
 0.         0.        ]",1.4e-07,4.8176334e-13,3.1811182e-11,"[[           nan  1.3297092e-08]
 [-2.5385578e-09  2.5416276e-09]
 [-2.3883848e-10  2.4514007e-10]
 [-3.8671157e-11  4.1091162e-11]
 [-1.0254561e-11  1.1965341e-11]
 [-3.6813048e-12  5.2574984e-12]
 [           nan  2.9912008e-12]
 [           nan  2.5642518e-12]]",4.5314534e-09,89.237625,4.086579e-14,0.12209475,0.0679816,3.2759118e-14,0.10187316,"[1.1032286e-12 8.5512901e-13 8.0436927e-13 4.6899718e-13 1.7890285e-13
 1.6213531e-13 2.4637416e-24 8.3242676e-18]"
IGRJ21277+5656,321.94,56.94,1.56287,FL16Y J2118.2+5750 ,87GB 2116+5739              ,319.5716,57.8422,LogParabola      ,                              ,4FGL J2118.2+5752 ,57.8759818056,4.018719e-12,8,3.285681e-10,"[1.6454941e-09 1.0542547e-08 1.5952725e-09 2.8831559e-10 2.8510055e-11
 6.6345185e-12 7.0434114e-15 2.0964575e-17]",2.9421152e-08,207.16335,2.0752581e-13,2.701947,2.2961211,0.17894964,1.6553851e-13,2.6039875,1472.63,319.544099479,6.6475663,6.893921,"[0.        2.146739  3.7304106 5.2587514 2.913627  1.8399423 0.
 0.       ]",1.9e-07,1.0228996e-12,4.9776135e-11,"[[           nan  2.4508406e-08]
 [-4.9328110e-09  4.9786020e-09]
 [-4.3831858e-10  4.4231219e-10]
 [-5.9041577e-11  6.0936943e-11]
 [-1.1125575e-11  1.2345740e-11]
 [-4.0654368e-12  5.0735557e-12]
 [           nan  2.4218570e-12]
 [           nan  1.5566900e-12]]",4.808994e-09,216.30539,3.245279e-14,0.17202602,0.09444541,2.5468368e-14,0.10343214,"[2.6766550e-13 2.5489179e-12 1.0514892e-12 6.4412516e-13 1.7197673e-13
 1.3814619e-13 3.9433539e-16 2.0081875e-18]"
NGC7679,352.2662,3.53333,1.29389,FL16Y J2327.4+0445 ,NVSS J232733+044740         ,351.8541,4.7602,PowerLaw         ,                              ,4FGL J2327.4+0444 ,4.79513155833,2.3733376e-12,0,1.9451134e-10,"[3.15268878e-09 2.68848499e-09 6.15358153e-10 1.64099664e-10
 4.25029803e-11 5.30196676e-12 1.10301615e-17 2.50054968e-12]",-inf,187.9374,1.067396e-13,2.2865229,0.79379857,0.06856321,9.7181926e-14,2.3075192,1518.6675,351.890643346,8.195398,-inf,"[0.3540392 1.8780285 3.401171  5.451703  5.6193404 2.193761  0.
 2.0229805]",4.4e-07,3.5416722e-13,2.8606544e-11,"[[           nan  6.4471921e-09]
 [-1.4406455e-09  1.4622467e-09]
 [-1.8758028e-10  1.9458291e-10]
 [-3.4744093e-11  3.8483293e-11]
 [-1.0800102e-11  1.2162085e-11]
 [-3.1220074e-12  4.4881256e-12]
 [           nan  2.6303031e-12]
 [-1.7980857e-12  3.0805202e-12]]",-inf,593.7607,1.8798024e-14,0.13880137,0.0958444,1.38425834e-14,0.10956176,"[4.9897331e-13 6.2700404e-13 4.0766563e-13 3.8271055e-13 2.8157592e-13
 1.2365160e-13 7.3073177e-19 3.9491132e-13]"
NGC7682,352.27,3.53,1.29825,FL16Y J2327.4+0445 ,NVSS J232733+044740         ,351.8541,4.7602,PowerLaw         ,                              ,4FGL J2327.4+0444 ,4.79513155833,2.3733376e-12,0,1.9451134e-10,"[3.15268878e-09 2.68848499e-09 6.15358153e-10 1.64099664e-10
 4.25029803e-11 5.30196676e-12 1.10301615e-17 2.50054968e-12]",-inf,187.9374,1.067396e-13,2.2865229,0.79379857,0.06856321,9.7181926e-14,2.3075192,1518.6675,351.890643346,8.195398,-inf,"[0.3540392 1.8780285 3.401171  5.451703  5.6193404 2.193761  0.
 2.0229805]",4.4e-07,3.5416722e-13,2.8606544e-11,"[[           nan  6.4471921e-09]
 [-1.4406455e-09  1.4622467e-09]
 [-1.8758028e-10  1.9458291e-10]
 [-3.4744093e-11  3.8483293e-11]
 [-1.0800102e-11  1.2162085e-11]
 [-3.1220074e-12  4.4881256e-12]
 [           nan  2.6303031e-12]
 [-1.7980857e-12  3.0805202e-12]]",-inf,593.7607,1.8798024e-14,0.13880137,0.0958444,1.38425834e-14,0.10956176,"[4.9897331e-13 6.2700404e-13 4.0766563e-13 3.8271055e-13 2.8157592e-13
 1.2365160e-13 7.3073177e-19 3.9491132e-13]"
FourC50.55,321.16,50.97,1.03865,FL16Y J2123.5+5159 ,SNR G094.0+01.0             ,320.8974,51.9957,LogParabola      ,                              ,4FGL J2123.9+5158 ,51.88333511352539,8.147581e-12,13,7.477453e-10,"[4.4101490e-08 5.7579665e-09 3.2171590e-09 6.9877371e-10 9.3781129e-11
 5.6230960e-22 3.0144015e-16 1.9014675e-17]",-inf,358.44034,7.7792785e-13,2.6683867,3.6723642,0.269605,5.5779204e-13,2.7251828,1238.0948,321.2083435058594,7.7942142,-inf,"[0.61794734 0.35427055 3.8244798  6.61418    4.6531405  0.
 0.         0.        ]",0.22821774,2.4513536e-12,9.7517966e-11,"[[           nan  3.9364636e-08]
 [           nan  9.0620667e-09]
 [-8.5901969e-10  8.6630958e-10]
 [-1.1204458e-10  1.1463549e-10]
 [-2.2654538e-11  2.3788747e-11]
 [           nan  3.1318277e-12]
 [           nan  2.2682889e-12]
 [           nan  1.8678858e-12]]",-inf,263.08432,1.0304248e-13,0.18808559,0.109545894,7.505402e-14,0.079119824,"[7.3148796e-12 1.4381249e-12 2.1497322e-12 1.5486739e-12 5.4982820e-13
 1.1278752e-23 1.6022541e-17 1.7617588e-18]"
ThreeC382,278.76,32.7,0.64221,FL16Y J1832.0+3233 ,                            ,278.0174,32.5541,LogParabola      ,                              ,                  ,nan,6.8560804e-13,16,1.3683314e-10,"[2.7919575e-10 9.6784925e-10 5.3602851e-12 1.1640885e-10 3.5138621e-11
 1.6827321e-15 5.1297268e-16 1.4802467e-16]",-inf,2556.6367,2.989474e-14,1.9615921,2.9101079,0.5731629,1.7387018e-14,2.366393,2472.3953,nan,4.4045,-inf,"[0.         0.67093486 0.04024372 4.4579296  4.35878    0.
 0.         0.        ]",nan,1.6700705e-13,3.2804957e-11,"[[           nan  1.4514173e-08]
 [           nan  9.7291120e-10]
 [           nan  1.0885977e-10]
 [-3.0336351e-11  3.2461062e-11]
 [-1.0294436e-11  1.1574767e-11]
 [           nan  2.1534671e-12]
 [           nan  1.8413023e-12]
 [           nan  2.0620059e-12]]",-inf,770.29626,7.354137e-15,0.35242483,0.22651646,4.3634017e-15,0.16069496,"[4.8396329e-14 2.8227288e-13 4.5171971e-15 2.9215034e-13 2.1849352e-13
 3.3507935e-17 2.6779815e-17 1.3714870e-17]"
LEDA166445,42.68,54.7,1.27883,FL16Y J0259.4+5453 ,GB6 J0259+5451              ,44.8748,54.8853,PowerLaw         ,                              ,4FGL J0259.3+5453 ,54.8556449889,2.1694972e-12,4,1.9393573e-10,"[3.4072634e-09 2.9941594e-09 1.2345818e-09 9.0695319e-11 1.4868121e-11
 1.9429002e-11 5.4691859e-12 1.9453106e-18]",-inf,nan,4.9821915e-15,2.1689956,0.762472,-0.045057457,5.266028e-15,2.1281953,5775.8823,44.8867305875,5.9836674,-inf,"[0.31978208 0.84984004 3.1336293  1.6397574  1.428847   5.3646593
 3.7534688  0.        ]",7.5796027e-07,6.519614e-13,5.2553455e-11,"[[            nan  8.49350723e-09]
 [            nan  2.93732838e-09]
 [-3.98873018e-10  4.04387995e-10]
 [-5.64340970e-11  5.61097002e-11]
 [-1.08016035e-11  1.22641636e-11]
 [-5.60249026e-12  6.56980590e-12]
 [-2.42259685e-12  3.29195829e-12]
 [            nan  1.73267455e-12]]",-inf,nan,1.0674345e-15,0.14066903,0.04458114,1.0774193e-15,0.19908373,"[5.4305963e-13 7.1044245e-13 8.3489362e-13 2.1519833e-13 1.0054660e-13
 4.6100379e-13 3.6985709e-13 3.2883531e-19]"
Mrk1210,121.02,5.11,0.8541,FL16Y J0804.4+0415 ,TXS 0802+043                ,121.1197,4.2617,PowerLaw         ,                              ,4FGL J0804.5+0414 ,4.23611984722,3.5005974e-12,0,2.512138e-10,"[5.8194796e-09 5.6771134e-09 1.1945220e-09 2.1772253e-10 3.9029439e-11
 3.5672778e-12 5.9334532e-17 1.2228773e-20]",1.9484455e-08,137.19072,3.704815e-13,2.400042,1.7030259,0.098694146,3.3062818e-13,2.4514983,1041.1155,121.181348417,11.467245,6.312392,"[0.6012403 3.086699  6.7809653 7.693211  5.6171565 1.6033788 0.
 0.       ]",8.2e-07,3.8858562e-13,2.9519148e-11,"[[           nan  7.7755304e-09]
 [-1.7666413e-09  1.7911013e-09]
 [-1.9110864e-10  2.0311570e-10]
 [-3.5889312e-11  3.8139165e-11]
 [-1.0328205e-11  1.1825885e-11]
 [-2.3474235e-12  3.7204692e-12]
 [           nan  2.4701532e-12]
 [           nan  2.5666424e-12]]",3.7015877e-09,233.7239,4.507919e-14,0.115618244,0.06881387,3.454958e-14,0.08374438,"[9.1582991e-13 1.3058068e-12 7.7843190e-13 5.0078897e-13 2.5434242e-13
 8.2051831e-14 3.8666425e-18 1.8329476e-21]"
NGC5252,204.57,4.54,1.23971,FL16Y J1342.7+0503 ,4C +05.57                   ,205.6973,5.0644,PowerLaw         ,                              ,4FGL J1342.7+0505 ,5.07561691944,3.073218e-12,0,2.7322467e-10,"[3.9783634e-09 3.0477061e-09 1.0505793e-09 1.5877551e-10 6.4738194e-11
 3.9901671e-12 9.1064916e-12 2.0293019e-12]",-inf,nan,7.3044916e-14,2.1555023,0.0,-0.008964921,7.408532e-14,2.1502988,1962.5958,205.681764358,11.904417,-inf,"[0.6555052 2.1228878 6.4851193 6.243801  7.335533  2.2405965 4.8588877
 1.5777125]",3.9e-07,3.4611154e-13,3.092879e-11,"[[           nan  5.5827658e-09]
 [-1.4475254e-09  1.4592529e-09]
 [-1.7799305e-10  1.8249449e-10]
 [-3.2196294e-11  3.4488273e-11]
 [-1.3418631e-11  1.4830699e-11]
 [-2.4809261e-12  3.9032423e-12]
 [-3.4953793e-12  4.5939424e-12]
 [-1.5742603e-12  2.7668852e-12]]",-inf,nan,9.6242755e-15,0.08783644,0.039534256,8.312434e-15,0.088427946,"[6.3355641e-13 7.2166524e-13 7.0872171e-13 3.7596396e-13 4.3672441e-13
 9.4483029e-14 6.1432473e-13 3.4021820e-13]"
NGC7469,345.82,8.87,1.12499,FL16Y J2306.5+0939 ,WISEA J230632.97+093843.0   ,346.6346,9.6569,PowerLaw         ,                              ,4FGL J2306.6+0940 ,9.653470993041992,1.7775445e-12,0,1.5027195e-10,"[3.8494168e-09 9.5562402e-10 6.3208777e-10 1.0653234e-10 2.9719352e-11
 6.1682682e-12 7.3994651e-19 2.0606189e-16]",-inf,558.6016,6.194838e-14,2.2157037,1.022879,0.09515463,5.4663153e-14,2.261856,1735.1938,346.6047668457031,6.5762777,-inf,"[0.49543187 0.6748775  3.7736123  4.1788373  3.7883196  3.1927795
 0.         0.        ]",5.4e-06,3.2388924e-13,2.6647453e-11,"[[           nan  5.3632019e-09]
 [           nan  1.2846044e-09]
 [-1.7537270e-10  1.7988759e-10]
 [-2.9529018e-11  3.1683614e-11]
 [-1.0003508e-11  1.1466431e-11]
 [-3.1543824e-12  4.5409058e-12]
 [           nan  4.0020955e-12]
 [           nan  3.1115245e-12]]",-inf,938.51117,1.2500554e-14,0.17800023,0.10054388,9.554974e-15,0.13251317,"[6.1032847e-13 2.2384296e-13 4.2092984e-13 2.4953867e-13 1.9791177e-13
 1.4448395e-13 4.9275676e-20 3.3098024e-17]"
IRAS05589+2828,90.54,28.47,2.1474,FL16Y J0611.7+2804 ,GB6 J0611+2803              ,92.9382,28.0817,PowerLaw         ,                              ,4FGL J0611.6+2803 ,28.0653619306,7.129527e-12,0,5.5909033e-10,"[1.7071347e-08 8.5758138e-09 2.3882156e-09 4.6693777e-10 9.2915883e-11
 1.6976013e-11 3.7028523e-12 1.7279370e-18]",2.564904e-08,13.47977,1.873173e-13,2.3458006,0.7652197,0.035102133,1.767181e-13,2.3617992,1857.2002,92.9305798917,11.972614,6.7214055,"[0.9914225 2.2989745 5.368654  7.11855   6.711389  4.9094977 2.2091727
 0.       ]",1.4e-06,8.311226e-13,5.677888e-11,"[[           nan  1.5165819e-08]
 [-3.7116699e-09  3.9066945e-09]
 [-4.6051823e-10  4.6746174e-10]
 [-7.4023933e-11  7.6768022e-11]
 [-1.8846326e-11  2.0498398e-11]
 [-5.8073802e-12  7.1564265e-12]
 [-2.2350153e-12  3.3275611e-12]
 [           nan  2.3119969e-12]]",4.681058e-09,90.69592,2.2465e-14,0.087189525,0.04493499,1.7897964e-14,0.0744077,"[2.6959589e-12 1.9893622e-12 1.5721103e-12 1.0831723e-12 6.1164507e-13
 3.9379865e-13 2.4375071e-13 2.6736514e-19]"
NGC1068,40.67,-0.01,0.01166,FL16Y J0242.6-0001 ,NGC 1068                    ,40.664,-0.02,PowerLaw         ,                              ,4FGL J0242.6-0000 ,-0.013115777634084225,6.601834e-12,0,5.2005217e-10,"[2.4706122e-08 7.3157507e-09 2.4873428e-09 3.5963207e-10 8.5117462e-11
 2.7635920e-11 4.5154639e-20 3.0732584e-12]",1.8761872e-08,nan,6.789441e-13,2.354787,0.0,0.0050051864,6.740929e-13,2.3566437,1020.22186,40.66952133178711,21.035494,7.5495005,"[ 2.5683136  4.1036797 12.995525  12.224522   8.757301   8.225591
  0.         3.5403352]",8.1e-06,4.1431236e-13,3.7283714e-11,"[[-9.7177075e-09  9.8591029e-09]
 [-1.8449156e-09  1.7996281e-09]
 [-2.2606825e-10  2.2606825e-10]
 [-4.0932435e-11  4.2913138e-11]
 [-1.5197156e-11  1.6623021e-11]
 [-6.9833033e-12  8.2382903e-12]
 [           nan  2.6848250e-12]
 [-1.7825025e-12  2.9765457e-12]]",3.1805942e-09,nan,5.1070256e-14,0.051975988,0.029236738,4.1950252e-14,0.050329793,"[3.9025181e-12 1.6979660e-12 1.6384028e-12 8.3469635e-13 5.6066534e-13
 6.4142230e-13 2.9743181e-21 4.7649168e-13]"
ESO506-G027,189.7275,-27.3078,1.24277,FL16Y J1240.5-2607 ,PMN J1240-2608              ,190.1443,-26.1221,PowerLaw         ,                              ,4FGL J1240.4-2606 ,-26.155250549316406,2.31538e-12,0,2.0448923e-10,"[3.9739172e-09 9.2181174e-10 4.8348509e-10 1.4746829e-10 5.8277876e-11
 1.1056328e-11 1.7743927e-15 2.3984711e-17]",-inf,2207.6611,3.8565234e-14,2.0400305,1.7432524,0.14902227,3.2193883e-14,2.1713703,2525.0068,190.1209259033203,8.328023,-inf,"[0.5994961  0.36505663 2.3169286  4.608674   6.504957   4.589157
 0.         0.        ]",0.0045,3.7807049e-13,3.1801665e-11,"[[            nan  5.75846126e-09]
 [            nan  1.81955773e-09]
 [-2.11648560e-10  2.17910856e-10]
 [-3.62003448e-11  3.84702790e-11]
 [-1.29033026e-11  1.45589686e-11]
 [-4.36509726e-12  5.75497072e-12]
 [            nan  2.53979455e-12]
 [            nan  2.34984861e-12]]",-inf,1478.3042,6.847698e-15,0.18530166,0.10050238,4.9959007e-15,0.1152205,"[6.3230779e-13 2.1781588e-13 3.2533974e-13 3.4845437e-13 3.9215500e-13
 2.6125114e-13 1.1939986e-16 3.9873791e-18]"
Mrk110,141.3,52.29,1.12739,FL16Y J0930.6+5132 ,NVSS J093033+513216         ,142.666,51.5409,LogParabola      ,                              ,4FGL J0930.5+5132 ,51.5373564944,4.765611e-13,0,6.8498415e-11,"[1.02747755e-10 2.82412177e-10 1.67351128e-14 5.68164335e-11
 1.87265221e-11 3.38843233e-12 2.90395589e-18 5.67725198e-18]",-inf,4470.54,7.921845e-15,1.8341162,2.0575178,0.28570497,5.5538053e-15,2.0381708,3344.1187,142.638652671,4.955599,-inf,"[0.        0.4608272 0.        4.0172663 4.145311  2.5218642 0.
 0.       ]",1.4e-06,1.3277373e-13,1.8175824e-11,"[[           nan  3.2133818e-09]
 [           nan  5.3891741e-10]
 [           nan  6.4645032e-11]
 [-1.6869591e-11  1.8522786e-11]
 [-6.3346884e-12  7.4124266e-12]
 [-1.9706374e-12  2.9549468e-12]
 [           nan  2.0502289e-12]
 [           nan  1.7812392e-12]]",-inf,2146.6199,2.1906773e-15,0.28834283,0.16724923,1.3850695e-15,0.16628392,"[1.7810494e-14 8.1387920e-14 1.3260789e-17 1.4412873e-13 1.2680780e-13
 7.5598382e-14 1.7077351e-19 5.5450704e-19]"
