excludedSource,pivot,indminNorm,TS
NGC1275,1.0,2.0251311145777353e-28,-0.03287625312805176
NGC1275,5.0,7.515544911193153e-30,-0.0214158296585083
NGC1275,10.0,9.353708811099708e-31,-0.018193364143371582
ThreeC111,1.0,1.9652780855141865e-28,-0.02974402904510498
ThreeC111,5.0,5.6392636000759356e-30,-0.02148282527923584
ThreeC111,10.0,9.573080923382906e-31,-0.0194551944732666
NGC1142,1.0,1.9786617554229264e-28,-0.025350332260131836
NGC1142,5.0,5.6482229010704886e-30,-0.016268253326416016
NGC1142,10.0,7.457562585417249e-31,-0.013516902923583984
CygA,1.0,6.587311767924497e-28,-0.016717910766601562
CygA,5.0,7.546373934517903e-30,-0.020828723907470703
CygA,10.0,1.0220339106291261e-30,-0.019620895385742188
Mrk348,1.0,6.679367670855576e-28,-0.017649412155151367
Mrk348,5.0,8.395972879571365e-30,-0.021625876426696777
Mrk348,10.0,7.199827957512289e-30,-0.07091367244720459
Mrk1498,1.0,6.802899809482223e-28,-0.01572573184967041
Mrk1498,5.0,8.40211318056974e-30,-0.019482731819152832
Mrk1498,10.0,1.2620805964016573e-29,-0.09818720817565918
NGC3227,1.0,7.307723669642962e-28,-0.014069080352783203
NGC3227,5.0,8.13099766383382e-30,-0.018414855003356934
NGC3227,10.0,1.1827674293722303e-30,-0.01731431484222412
UGC11910,1.0,6.644273524828356e-28,-0.015086054801940918
UGC11910,5.0,8.409265576379402e-30,-0.019098758697509766
UGC11910,10.0,1.105367786692586e-30,-0.018102407455444336
NGC4051,1.0,2.169728040080461e-27,-0.03927004337310791
NGC4051,5.0,8.969977862265599e-30,-0.01985013484954834
NGC4051,10.0,1.106894466969114e-30,-0.018930912017822266
UGC3374,1.0,7.743315287176199e-28,-0.01572275161743164
UGC3374,5.0,8.684649619125317e-30,-0.020076394081115723
UGC3374,10.0,1.0820379980548703e-30,-0.019098877906799316
NGC7603,1.0,2.97969990538153e-27,-0.054812073707580566
NGC7603,5.0,8.616536271411342e-30,-0.020435571670532227
NGC7603,10.0,1.0295669588504965e-30,-0.019146323204040527
Mrk1040,1.0,8.360332776838693e-28,-0.01692509651184082
Mrk1040,5.0,8.368373452618432e-30,-0.02025318145751953
Mrk1040,10.0,5.282179660904641e-30,-0.052248477935791016
ESO565_G019,1.0,5.618522338452466e-28,-0.01607537269592285
ESO565_G019,5.0,8.560762670499795e-30,-0.018398523330688477
ESO565_G019,10.0,1.0264921157224564e-30,-0.0171126127243042
TwoMASXJ20145928_2523010,1.0,7.45875326701308e-28,-0.014867067337036133
TwoMASXJ20145928_2523010,5.0,8.697895107451868e-30,-0.01887679100036621
TwoMASXJ20145928_2523010,10.0,1.1049675691953049e-30,-0.018078327178955078
NGC4102,1.0,7.322809352145435e-28,-0.015408515930175781
NGC4102,5.0,8.772502954530007e-30,-0.019400954246520996
NGC4102,10.0,1.0794615548152364e-30,-0.0184706449508667
Q0241_622,1.0,6.6952429248728305e-28,-0.015122532844543457
Q0241_622,5.0,8.955815923029525e-30,-0.019192814826965332
Q0241_622,10.0,1.1089602659780073e-30,-0.01825690269470215
AXJ1737_4_2907,1.0,6.654164457597589e-28,-0.015091896057128906
AXJ1737_4_2907,5.0,9.016818187823627e-30,-0.019173741340637207
AXJ1737_4_2907,10.0,1.1111805725595527e-30,-0.01820850372314453
NGC4388,1.0,6.681305686212326e-28,-0.013413786888122559
NGC4388,5.0,8.210878143106654e-30,-0.017224431037902832
NGC4388,10.0,1.177648466075398e-30,-0.01671457290649414
LEDA168563,1.0,5.49335572079629e-28,-0.01732492446899414
LEDA168563,5.0,8.765415168047267e-30,-0.019167304039001465
LEDA168563,10.0,9.518903103194928e-31,-0.017938971519470215
NGC5548,1.0,6.6202335911427345e-28,-0.014801025390625
NGC5548,5.0,8.426359551105212e-30,-0.018810749053955078
NGC5548,10.0,1.1175489676752108e-30,-0.01763153076171875
MCG_4_48_2,1.0,7.292505285709785e-28,-0.01553356647491455
MCG_4_48_2,5.0,8.735700655422204e-30,-0.019607901573181152
MCG_4_48_2,10.0,1.056147401483678e-30,-0.018670082092285156
LEDA138501,1.0,6.669820228503005e-28,-0.015320658683776855
LEDA138501,5.0,8.938628941726181e-30,-0.01938605308532715
LEDA138501,10.0,1.0874615515566182e-30,-0.01848161220550537
ThreeC445,1.0,7.2847397684811595e-28,-0.014936566352844238
ThreeC445,5.0,8.428974478978701e-30,-0.01898360252380371
ThreeC445,10.0,1.1249348862867107e-30,-0.01814258098602295
NGC1194,1.0,6.133768380418241e-28,-0.015406250953674316
NGC1194,5.0,8.541813712388559e-30,-0.01872384548187256
NGC1194,10.0,1.1350034715707586e-30,-0.017786145210266113
NGC7319,1.0,4.700499113525081e-28,-0.018814444541931152
NGC7319,5.0,8.297469024759974e-30,-0.019177675247192383
NGC7319,10.0,1.2927489480882973e-30,-0.018004655838012695
NGC6240,1.0,6.422437045178303e-28,-0.015727877616882324
NGC6240,5.0,8.37297706019221e-30,-0.019373178482055664
NGC6240,10.0,7.602694436621973e-30,-0.06943798065185547
LEDA86269,1.0,2.800058923287369e-28,-0.028000235557556152
LEDA86269,5.0,8.671076524473902e-30,-0.019603967666625977
LEDA86269,10.0,1.3166973602530709e-30,-0.01837337017059326
CGCG420_015,1.0,3.3410075423920497e-28,-0.024765372276306152
CGCG420_015,5.0,8.94253327797929e-30,-0.019304752349853516
CGCG420_015,10.0,1.1057937344592942e-30,-0.018334388732910156
IGRJ21277_5656,1.0,9.425270813335595e-28,-0.017093181610107422
IGRJ21277_5656,5.0,8.985491709468388e-30,-0.01912069320678711
IGRJ21277_5656,10.0,1.1076218090912931e-30,-0.01819002628326416
NGC7679,1.0,2.1023361066156136e-28,-0.03539443016052246
NGC7679,5.0,8.317345004806237e-30,-0.018938064575195312
NGC7679,10.0,1.1143268881724464e-30,-0.018198609352111816
NGC7682,1.0,7.2376156577119865e-28,-0.014580965042114258
NGC7682,5.0,8.797193039703738e-30,-0.018883824348449707
NGC7682,10.0,1.1315484915473072e-30,-0.018000364303588867
FourC50_55,1.0,6.656510940164927e-28,-0.015075325965881348
FourC50_55,5.0,8.235083947368112e-30,-0.019074678421020508
FourC50_55,10.0,1.0445010234472631e-30,-0.017961978912353516
ThreeC382,1.0,7.851845564122138e-28,-0.01391303539276123
ThreeC382,5.0,8.87326072683074e-30,-0.01837313175201416
ThreeC382,10.0,1.1649659544241397e-30,-0.017657160758972168
LEDA166445,1.0,2.2147068041502874e-27,-0.037934184074401855
LEDA166445,5.0,9.027282473404915e-30,-0.0190279483795166
LEDA166445,10.0,1.1194350201109003e-30,-0.018090009689331055
Mrk1210,1.0,6.690946971174238e-28,-0.015436768531799316
Mrk1210,5.0,8.857426734719902e-30,-0.01943671703338623
Mrk1210,10.0,1.3260782866846028e-30,-0.018294930458068848
NGC5252,1.0,7.026888359757872e-28,-0.014499783515930176
NGC5252,5.0,8.151019723501484e-30,-0.0186307430267334
NGC5252,10.0,1.330566330324907e-30,-0.017257094383239746
NGC7469,1.0,5.359855953663945e-28,-0.017017602920532227
NGC7469,5.0,8.743777094413843e-30,-0.017814993858337402
NGC7469,10.0,1.2197808859938583e-30,-0.017015695571899414
IRAS05589_2828,1.0,7.6208495669612045e-28,-0.014370322227478027
IRAS05589_2828,5.0,8.647208949533107e-30,-0.0185699462890625
IRAS05589_2828,10.0,1.1598310058093817e-30,-0.017673015594482422
NGC1068,1.0,7.330514722967133e-28,-0.01135408878326416
NGC1068,5.0,8.961079107303164e-30,-0.01568460464477539
NGC1068,10.0,9.764513425392163e-27,3.5164400339126587
ESO506_G027,1.0,6.877588161838653e-28,-0.015037894248962402
ESO506_G027,5.0,8.724052396386262e-30,-0.019020438194274902
ESO506_G027,10.0,1.1189678787772509e-30,-0.018101811408996582
Mrk110,1.0,2.993124740570743e-28,-0.026432037353515625
Mrk110,5.0,8.916407748375283e-30,-0.019115686416625977
Mrk110,10.0,1.1090483143612413e-30,-0.018231511116027832
Mrk120,1.0,3.3741197741580975e-27,-0.05233347415924072
Mrk120,5.0,8.662897878857568e-30,-0.018106818199157715
Mrk120,10.0,1.1647861012957198e-30,-0.017206311225891113
MCG_08_03_018,1.0,3.0332346692669738e-27,-0.051273345947265625
MCG_08_03_018,5.0,9.021327216327385e-30,-0.019043684005737305
MCG_08_03_018,10.0,1.1258007012366352e-30,-0.018019676208496094
Z164_19,1.0,6.910065436120718e-28,-0.010838150978088379
Z164_19,5.0,9.093122864064278e-30,-0.015079021453857422
Z164_19,10.0,3.461545812646445e-26,52.817649483680725
IRAS05078_1626,1.0,7.815595962624641e-28,-0.011977672576904297
IRAS05078_1626,5.0,8.747691140813008e-30,-0.016701221466064453
IRAS05078_1626,10.0,1.353833432182364e-30,-0.015377402305603027
NGC4992,1.0,2.6535496877777713e-27,-0.03627753257751465
NGC4992,5.0,8.701252966377206e-30,-0.01697230339050293
NGC4992,10.0,1.095624656847343e-30,-0.016317367553710938
Mrk417,1.0,3.053283642321241e-27,-0.04650771617889404
Mrk417,5.0,8.512922962693204e-30,-0.017768025398254395
Mrk417,10.0,1.0965985371427503e-30,-0.01704537868499756
NGC5506,1.0,7.190133265506273e-28,-0.01198279857635498
NGC5506,5.0,8.732315675713238e-30,-0.016197919845581055
NGC5506,10.0,1.1004146381154738e-30,-0.015445232391357422
Mrk79,1.0,6.687628920970692e-28,-0.014821290969848633
Mrk79,5.0,8.276488692285101e-30,-0.018256068229675293
Mrk79,10.0,1.2094750791227516e-30,-0.01724112033843994
NGC3079,1.0,6.695867931553024e-28,-0.015036463737487793
NGC3079,5.0,8.893391459657486e-30,-0.016436457633972168
NGC3079,10.0,1.3539391262686323e-30,-0.01515352725982666
