excludedSource,pivot,indminNorm,TS
LEDA168563,1.0,4.6281383520825754e-29,-0.01479637622833252
LEDA168563,5.0,1.263390936694472e-30,-0.01922321319580078
LEDA168563,10.0,2.221759506187803e-31,-0.021782875061035156
NGC5548,1.0,3.6549891421443136e-29,-0.015787839889526367
NGC5548,5.0,1.6785990265761778e-30,-0.01743018627166748
NGC5548,10.0,2.119865277047788e-31,-0.021912097930908203
MCG_4_48_2,1.0,4.658464143057682e-29,-0.014849185943603516
MCG_4_48_2,5.0,1.2784653363574299e-30,-0.019269466400146484
MCG_4_48_2,10.0,2.1504978888614563e-31,-0.022068262100219727
LEDA138501,1.0,3.4931390496179753e-29,-0.016718387603759766
LEDA138501,5.0,1.256421511742732e-30,-0.019473671913146973
LEDA138501,10.0,2.198131883360686e-31,-0.02199721336364746
ThreeC445,1.0,2.052428460429662e-29,-0.019702434539794922
ThreeC445,5.0,1.6842982273868035e-30,-0.01717960834503174
ThreeC445,10.0,2.190425384303605e-31,-0.021552324295043945
NGC1194,1.0,2.3820825747820042e-29,-0.018088579177856445
NGC1194,5.0,1.2937313157140385e-30,-0.01861405372619629
NGC1194,10.0,2.1701421642113447e-31,-0.02152252197265625
NGC7319,1.0,3.2160936240986233e-29,-0.016778230667114258
NGC7319,5.0,1.6704292402129157e-30,-0.01793992519378662
NGC7319,10.0,2.205749020063593e-31,-0.021831512451171875
NGC6240,1.0,3.474963210608569e-29,-0.017147421836853027
NGC6240,5.0,1.2854269517922087e-30,-0.019783735275268555
NGC6240,10.0,1.6461470729503017e-30,-0.05629873275756836
LEDA86269,1.0,5.091141861908582e-29,-0.016574501991271973
LEDA86269,5.0,1.3384931068597167e-30,-0.01983320713043213
LEDA86269,10.0,2.33118711828858e-31,-0.02103745937347412
CGCG420_015,1.0,5.319884353672459e-29,-0.015814661979675293
CGCG420_015,5.0,1.2677901048540263e-30,-0.019115567207336426
CGCG420_015,10.0,2.207533168254209e-31,-0.021753787994384766
IGRJ21277_5656,1.0,3.884933673350022e-29,-0.015805721282958984
IGRJ21277_5656,5.0,1.2669323124152702e-30,-0.01916050910949707
IGRJ21277_5656,10.0,2.2117982821905325e-31,-0.02173900604248047
NGC7679,1.0,3.7902021365970967e-29,-0.01587092876434326
NGC7679,5.0,1.2705149101572914e-30,-0.01911938190460205
NGC7679,10.0,2.2135942785895993e-31,-0.021705150604248047
NGC7682,1.0,3.814617690683399e-29,-0.015600919723510742
NGC7682,5.0,1.2809174757007813e-30,-0.01893031597137451
NGC7682,10.0,2.174932750216605e-31,-0.02172267436981201
FourC50_55,1.0,2.56758152083832e-29,-0.01750624179840088
FourC50_55,5.0,1.6457825481664416e-30,-0.01755821704864502
FourC50_55,10.0,2.177993471067717e-31,-0.02160656452178955
ThreeC382,1.0,3.690176673056948e-29,-0.015631556510925293
ThreeC382,5.0,1.6217185250296126e-30,-0.017606019973754883
ThreeC382,10.0,2.1431765368533726e-31,-0.021728038787841797
LEDA166445,1.0,3.76849042903547e-29,-0.015720486640930176
LEDA166445,5.0,1.2774173637641672e-30,-0.018967151641845703
LEDA166445,10.0,2.202852897790339e-31,-0.021641969680786133
Mrk1210,1.0,5.096991219935972e-29,-0.016239285469055176
Mrk1210,5.0,1.2642239142314442e-30,-0.01942729949951172
Mrk1210,10.0,2.272865703662545e-31,-0.021405577659606934
NGC5252,1.0,4.4604539787798784e-29,-0.015309810638427734
NGC5252,5.0,1.263731961731583e-30,-0.019475579261779785
NGC5252,10.0,2.1887150724884264e-31,-0.02200782299041748
NGC7469,1.0,4.642727037916495e-29,-0.013861536979675293
NGC7469,5.0,1.6696317408681057e-30,-0.01720428466796875
NGC7469,10.0,1.8722953481431362e-30,-0.05376255512237549
IRAS05589_2828,1.0,2.2748213503070682e-29,-0.018384337425231934
IRAS05589_2828,5.0,1.686323241168443e-30,-0.016714811325073242
IRAS05589_2828,10.0,2.181088798050331e-31,-0.021351933479309082
NGC1068,1.0,3.800685285453657e-29,-0.014397025108337402
NGC1068,5.0,1.2627544799566036e-30,-0.017870545387268066
NGC1068,10.0,2.311977249034806e-31,-0.0204240083694458
ESO506_G027,1.0,3.3081147943727254e-29,-0.016353368759155273
ESO506_G027,5.0,1.2810115290116561e-30,-0.018891215324401855
ESO506_G027,10.0,2.202952610844545e-31,-0.02157914638519287
Mrk110,1.0,4.491839127952528e-29,-0.015452980995178223
Mrk110,5.0,1.2501829943098165e-30,-0.01931941509246826
Mrk110,10.0,2.2429640259186608e-31,-0.021506786346435547
Mrk120,1.0,3.0153015023829687e-29,-0.016619086265563965
Mrk120,5.0,1.2663644883015954e-30,-0.01909768581390381
Mrk120,10.0,2.2058715447464773e-31,-0.02173745632171631
MCG_08_03_018,1.0,3.8221615298878093e-29,-0.015660524368286133
MCG_08_03_018,5.0,1.277374897618152e-30,-0.01896989345550537
MCG_08_03_018,10.0,2.207793706987811e-31,-0.021620512008666992
Z164_19,1.0,1.4649532095976918e-28,-0.0335390567779541
Z164_19,5.0,1.6952607125541398e-30,-0.014208316802978516
Z164_19,10.0,2.3601645705729654e-30,-0.05347895622253418
IRAS05078_1626,1.0,4.5090648633770556e-29,-0.015762805938720703
IRAS05078_1626,5.0,1.2427031286254837e-30,-0.019798874855041504
IRAS05078_1626,10.0,2.182820886913454e-31,-0.022272586822509766
NGC4992,1.0,4.6944820980926307e-29,-0.01373136043548584
NGC4992,5.0,1.65599399697108e-30,-0.01695847511291504
NGC4992,10.0,1.914764729310721e-30,-0.054509520530700684
Mrk417,1.0,4.656919847424008e-29,-0.013712406158447266
Mrk417,5.0,1.687221654378354e-30,-0.01690804958343506
Mrk417,10.0,2.099857594576033e-31,-0.021736860275268555
NGC5506,1.0,1.1641039075538402e-29,-0.02588331699371338
NGC5506,5.0,1.328476151216295e-30,-0.020474910736083984
NGC5506,10.0,2.137234304959521e-31,-0.022723913192749023
Mrk79,1.0,3.783755684958365e-29,-0.015722155570983887
Mrk79,5.0,1.2746150254030978e-30,-0.018990159034729004
Mrk79,10.0,2.2292164396945944e-31,-0.021524667739868164
NGC3079,1.0,2.988816515440855e-29,-0.014718413352966309
NGC3079,5.0,1.69298011788552e-30,-0.014998555183410645
NGC3079,10.0,1.6752560257424827e-30,-0.040793538093566895
