excludedSource,pivot,indminNorm,TS
Mrk110,1.0,2.0325529157269504e-27,-0.014268040657043457
Mrk110,5.0,1.0732477721027886e-25,31.428081274032593
Mrk110,10.0,2.0560923566352208e-30,-0.017281293869018555
Mrk120,1.0,2.0293275768323544e-27,-0.01195681095123291
Mrk120,5.0,1.3888611243882715e-25,48.72174298763275
Mrk120,10.0,5.0368790207175935e-30,-0.03225564956665039
MCG_08_03_018,1.0,2.0075346981774683e-27,-0.014421582221984863
MCG_08_03_018,5.0,1.0464597785055398e-25,28.010905265808105
MCG_08_03_018,10.0,2.056524491111224e-30,-0.01744973659515381
Z164_19,1.0,2.5369736052506613e-24,0.8073874711990356
Z164_19,5.0,1.0344690122373672e-25,28.342787265777588
Z164_19,10.0,5.4418318808966605e-27,4.198209762573242
IRAS05078_1626,1.0,9.935444893538469e-27,-0.030960917472839355
IRAS05078_1626,5.0,1.9469939292992727e-25,92.59478414058685
IRAS05078_1626,10.0,5.0478429124172186e-30,-0.023435354232788086
NGC4992,1.0,3.361206826486774e-27,-0.00976252555847168
NGC4992,5.0,1.5856038964378538e-25,65.96126317977905
NGC4992,10.0,5.047798274121289e-30,-0.026845097541809082
Mrk417,1.0,3.487750978783896e-27,-0.013431906700134277
Mrk417,5.0,1.4298143483712391e-25,50.078287839889526
Mrk417,10.0,2.0448670662037472e-30,-0.015500426292419434
NGC5506,1.0,2.555523953564178e-27,-0.009905815124511719
NGC5506,5.0,1.0481234476382356e-25,28.152931690216064
NGC5506,10.0,5.06880134544017e-30,-0.01730525493621826
Mrk79,1.0,2.035484674264936e-27,-0.014837026596069336
Mrk79,5.0,1.237988684592814e-25,39.83676505088806
Mrk79,10.0,2.0269325721400896e-30,-0.016312479972839355
NGC3079,1.0,2.0373633626009466e-27,-0.011916637420654297
NGC3079,5.0,1.3843084684196526e-25,48.76047158241272
NGC3079,10.0,5.036518575977025e-30,-0.03177821636199951
